series_code,module_code,module_name,stage_no,lesson_count,total_hours,module_keywords
academic_planning_advanced,academic_planning_advanced_m1,保研考研路径拆解,1,8,16,"[""升学与学业规划"", ""成长规划"", ""能力提升""]"
academic_planning_advanced,academic_planning_advanced_m2,院校选择与长期准备,2,10,20,"[""升学与学业规划"", ""成长规划"", ""能力提升""]"
academic_planning_advanced,academic_planning_advanced_m3,材料规划与关键节点管理,3,8,16,"[""升学与学业规划"", ""成长规划"", ""能力提升""]"
academic_planning_foundation,academic_planning_foundation_m1,学业现状诊断与目标梳理,1,6,12,"[""升学与学业规划"", ""成长规划"", ""能力提升""]"
academic_planning_foundation,academic_planning_foundation_m2,成绩、竞赛、项目路径认知,2,8,16,"[""升学与学业规划"", ""成长规划"", ""能力提升""]"
academic_planning_foundation,academic_planning_foundation_m3,阶段任务分解与跟进,3,6,12,"[""升学与学业规划"", ""成长规划"", ""能力提升""]"
academic_planning_practice,academic_planning_practice_m1,升学方向选择与资源匹配,1,8,16,"[""升学与学业规划"", ""成长规划"", ""能力提升""]"
academic_planning_practice,academic_planning_practice_m2,院校专业调研方法,2,8,16,"[""升学与学业规划"", ""成长规划"", ""能力提升""]"
academic_planning_practice,academic_planning_practice_m3,阶段执行与复盘机制,3,8,16,"[""升学与学业规划"", ""成长规划"", ""能力提升""]"
accounting_certificate_advanced,accounting_certificate_advanced_m1,冲刺串讲与考点压缩,1,8,16,"[""会计与财税证书"", ""考证通关"", ""模考复盘""]"
accounting_certificate_advanced,accounting_certificate_advanced_m2,模考训练与时间分配,2,10,20,"[""会计与财税证书"", ""考证通关"", ""模考复盘""]"
accounting_certificate_advanced,accounting_certificate_advanced_m3,考前答疑与重点回看,3,8,16,"[""会计与财税证书"", ""考证通关"", ""模考复盘""]"
accounting_certificate_foundation,accounting_certificate_foundation_m1,会计基础与科目认知,1,8,16,"[""会计与财税证书"", ""考证通关"", ""模考复盘""]"
accounting_certificate_foundation,accounting_certificate_foundation_m2,经济法基础与高频考点,2,10,20,"[""会计与财税证书"", ""考证通关"", ""模考复盘""]"
accounting_certificate_foundation,accounting_certificate_foundation_m3,真题入门与错题整理,3,8,16,"[""会计与财税证书"", ""考证通关"", ""模考复盘""]"
accounting_certificate_practice,accounting_certificate_practice_m1,中级实务重点章节突破,1,8,16,"[""会计与财税证书"", ""考证通关"", ""模考复盘""]"
accounting_certificate_practice,accounting_certificate_practice_m2,财务管理题型训练,2,10,20,"[""会计与财税证书"", ""考证通关"", ""模考复盘""]"
accounting_certificate_practice,accounting_certificate_practice_m3,综合题讲评与复盘,3,8,16,"[""会计与财税证书"", ""考证通关"", ""模考复盘""]"
algebra_foundations_advanced,algebra_foundations_advanced_m1,群环域初步,1,8,16,"[""代数学基础"", ""解题训练"", ""能力提升""]"
algebra_foundations_advanced,algebra_foundations_advanced_m2,代数证明与结构理解,2,10,20,"[""代数学基础"", ""解题训练"", ""能力提升""]"
algebra_foundations_advanced,algebra_foundations_advanced_m3,综合训练与提升,3,10,20,"[""代数学基础"", ""解题训练"", ""能力提升""]"
algebra_foundations_foundation,algebra_foundations_foundation_m1,代数式与方程基础,1,6,12,"[""代数学基础"", ""解题训练"", ""能力提升""]"
algebra_foundations_foundation,algebra_foundations_foundation_m2,函数与数列代数表达,2,8,16,"[""代数学基础"", ""解题训练"", ""能力提升""]"
algebra_foundations_foundation,algebra_foundations_foundation_m3,基础训练与错题整理,3,8,16,"[""代数学基础"", ""解题训练"", ""能力提升""]"
algebra_foundations_practice,algebra_foundations_practice_m1,矩阵与向量空间,1,8,16,"[""代数学基础"", ""解题训练"", ""能力提升""]"
algebra_foundations_practice,algebra_foundations_practice_m2,线性方程组与变换,2,8,16,"[""代数学基础"", ""解题训练"", ""能力提升""]"
algebra_foundations_practice,algebra_foundations_practice_m3,典型题型拆解,3,10,20,"[""代数学基础"", ""解题训练"", ""能力提升""]"
analysis_foundations_advanced,analysis_foundations_advanced_m1,分析证明方法训练,1,8,16,"[""分析学基础"", ""解题训练"", ""能力提升""]"
analysis_foundations_advanced,analysis_foundations_advanced_m2,级数与收敛专题,2,10,20,"[""分析学基础"", ""解题训练"", ""能力提升""]"
analysis_foundations_advanced,analysis_foundations_advanced_m3,综合测评与拔高训练,3,10,20,"[""分析学基础"", ""解题训练"", ""能力提升""]"
analysis_foundations_foundation,analysis_foundations_foundation_m1,函数概念与图像理解,1,6,12,"[""分析学基础"", ""解题训练"", ""能力提升""]"
analysis_foundations_foundation,analysis_foundations_foundation_m2,极限与连续基础梳理,2,8,16,"[""分析学基础"", ""解题训练"", ""能力提升""]"
analysis_foundations_foundation,analysis_foundations_foundation_m3,基础题型训练与纠错,3,8,16,"[""分析学基础"", ""解题训练"", ""能力提升""]"
analysis_foundations_practice,analysis_foundations_practice_m1,极限计算方法归纳,1,8,16,"[""分析学基础"", ""解题训练"", ""能力提升""]"
analysis_foundations_practice,analysis_foundations_practice_m2,连续性与中值定理,2,8,16,"[""分析学基础"", ""解题训练"", ""能力提升""]"
analysis_foundations_practice,analysis_foundations_practice_m3,综合题型拆解与复盘,3,10,20,"[""分析学基础"", ""解题训练"", ""能力提升""]"
backend_development_advanced,backend_development_advanced_m1,高并发与稳定性治理,1,8,16,"[""后端开发"", ""项目实践"", ""工程能力""]"
backend_development_advanced,backend_development_advanced_m2,可观测性与故障排查,2,10,20,"[""后端开发"", ""项目实践"", ""工程能力""]"
backend_development_advanced,backend_development_advanced_m3,系统设计与项目复盘,3,12,24,"[""后端开发"", ""项目实践"", ""工程能力""]"
backend_development_foundation,backend_development_foundation_m1,后端语言与Web框架入门,1,8,16,"[""后端开发"", ""项目实践"", ""工程能力""]"
backend_development_foundation,backend_development_foundation_m2,数据库基础与接口设计,2,10,20,"[""后端开发"", ""项目实践"", ""工程能力""]"
backend_development_foundation,backend_development_foundation_m3,认证授权与日志处理,3,10,20,"[""后端开发"", ""项目实践"", ""工程能力""]"
backend_development_practice,backend_development_practice_m1,服务拆分与消息队列实践,1,8,16,"[""后端开发"", ""项目实践"", ""工程能力""]"
backend_development_practice,backend_development_practice_m2,缓存、搜索与任务调度,2,10,20,"[""后端开发"", ""项目实践"", ""工程能力""]"
backend_development_practice,backend_development_practice_m3,完整业务项目联调,3,12,24,"[""后端开发"", ""项目实践"", ""工程能力""]"
calculus_and_sequences_advanced,calculus_and_sequences_advanced_m1,多元微积分初步,1,8,16,"[""微积分与数列极限"", ""解题训练"", ""能力提升""]"
calculus_and_sequences_advanced,calculus_and_sequences_advanced_m2,微分方程与应用问题,2,10,20,"[""微积分与数列极限"", ""解题训练"", ""能力提升""]"
calculus_and_sequences_advanced,calculus_and_sequences_advanced_m3,综合测评与提升,3,10,20,"[""微积分与数列极限"", ""解题训练"", ""能力提升""]"
calculus_and_sequences_foundation,calculus_and_sequences_foundation_m1,函数、极限与导数入门,1,6,12,"[""微积分与数列极限"", ""解题训练"", ""能力提升""]"
calculus_and_sequences_foundation,calculus_and_sequences_foundation_m2,数列与递推基础,2,8,16,"[""微积分与数列极限"", ""解题训练"", ""能力提升""]"
calculus_and_sequences_foundation,calculus_and_sequences_foundation_m3,基本题型训练,3,8,16,"[""微积分与数列极限"", ""解题训练"", ""能力提升""]"
calculus_and_sequences_practice,calculus_and_sequences_practice_m1,积分与中值定理专题,1,8,16,"[""微积分与数列极限"", ""解题训练"", ""能力提升""]"
calculus_and_sequences_practice,calculus_and_sequences_practice_m2,级数与收敛方法,2,8,16,"[""微积分与数列极限"", ""解题训练"", ""能力提升""]"
calculus_and_sequences_practice,calculus_and_sequences_practice_m3,真题与难点突破,3,10,20,"[""微积分与数列极限"", ""解题训练"", ""能力提升""]"
campus_employability_advanced,campus_employability_advanced_m1,投递策略与Offer沟通,1,8,16,"[""就业竞争力"", ""成长规划"", ""能力提升""]"
campus_employability_advanced,campus_employability_advanced_m2,终面复盘与查漏补缺,2,10,20,"[""就业竞争力"", ""成长规划"", ""能力提升""]"
campus_employability_advanced,campus_employability_advanced_m3,求职心态与节奏管理,3,8,16,"[""就业竞争力"", ""成长规划"", ""能力提升""]"
campus_employability_foundation,campus_employability_foundation_m1,职业方向定位与能力盘点,1,6,12,"[""就业竞争力"", ""成长规划"", ""能力提升""]"
campus_employability_foundation,campus_employability_foundation_m2,求职时间线与岗位认知,2,8,16,"[""就业竞争力"", ""成长规划"", ""能力提升""]"
campus_employability_foundation,campus_employability_foundation_m3,简历素材收集与整理,3,6,12,"[""就业竞争力"", ""成长规划"", ""能力提升""]"
campus_employability_practice,campus_employability_practice_m1,简历修改与项目表达,1,8,16,"[""就业竞争力"", ""成长规划"", ""能力提升""]"
campus_employability_practice,campus_employability_practice_m2,结构化面试与自我介绍,2,8,16,"[""就业竞争力"", ""成长规划"", ""能力提升""]"
campus_employability_practice,campus_employability_practice_m3,群面单面模拟演练,3,8,16,"[""就业竞争力"", ""成长规划"", ""能力提升""]"
civil_service_exam_advanced,civil_service_exam_advanced_m1,结构化面试高频题,1,8,16,"[""公务员考试"", ""题型技巧"", ""模考复盘""]"
civil_service_exam_advanced,civil_service_exam_advanced_m2,表达组织与临场反馈,2,10,20,"[""公务员考试"", ""题型技巧"", ""模考复盘""]"
civil_service_exam_advanced,civil_service_exam_advanced_m3,全真模拟与个性化纠偏,3,8,16,"[""公务员考试"", ""题型技巧"", ""模考复盘""]"
civil_service_exam_foundation,civil_service_exam_foundation_m1,行测五大模块入门,1,8,16,"[""公务员考试"", ""题型技巧"", ""模考复盘""]"
civil_service_exam_foundation,civil_service_exam_foundation_m2,申论作答框架训练,2,10,20,"[""公务员考试"", ""题型技巧"", ""模考复盘""]"
civil_service_exam_foundation,civil_service_exam_foundation_m3,备考节奏与阶段测评,3,8,16,"[""公务员考试"", ""题型技巧"", ""模考复盘""]"
civil_service_exam_practice,civil_service_exam_practice_m1,数量关系与判断推理突破,1,8,16,"[""公务员考试"", ""题型技巧"", ""模考复盘""]"
civil_service_exam_practice,civil_service_exam_practice_m2,申论材料提炼与写作,2,10,20,"[""公务员考试"", ""题型技巧"", ""模考复盘""]"
civil_service_exam_practice,civil_service_exam_practice_m3,历年真题套卷实战,3,8,16,"[""公务员考试"", ""题型技巧"", ""模考复盘""]"
compiler_and_language_systems_advanced,compiler_and_language_systems_advanced_m1,优化、代码生成与工具链,1,8,16,"[""编译与语言系统"", ""系统设计"", ""性能优化""]"
compiler_and_language_systems_advanced,compiler_and_language_systems_advanced_m2,编译工程案例拆解,2,10,20,"[""编译与语言系统"", ""系统设计"", ""性能优化""]"
compiler_and_language_systems_advanced,compiler_and_language_systems_advanced_m3,编译器项目复盘,3,12,24,"[""编译与语言系统"", ""系统设计"", ""性能优化""]"
compiler_and_language_systems_foundation,compiler_and_language_systems_foundation_m1,词法语法分析基础,1,8,16,"[""编译与语言系统"", ""系统设计"", ""性能优化""]"
compiler_and_language_systems_foundation,compiler_and_language_systems_foundation_m2,AST与语义分析入门,2,10,20,"[""编译与语言系统"", ""系统设计"", ""性能优化""]"
compiler_and_language_systems_foundation,compiler_and_language_systems_foundation_m3,简易编译实验,3,10,20,"[""编译与语言系统"", ""系统设计"", ""性能优化""]"
compiler_and_language_systems_practice,compiler_and_language_systems_practice_m1,解释执行与字节码实现,1,8,16,"[""编译与语言系统"", ""系统设计"", ""性能优化""]"
compiler_and_language_systems_practice,compiler_and_language_systems_practice_m2,类型系统与错误处理,2,10,20,"[""编译与语言系统"", ""系统设计"", ""性能优化""]"
compiler_and_language_systems_practice,compiler_and_language_systems_practice_m3,小型语言实现项目,3,12,24,"[""编译与语言系统"", ""系统设计"", ""性能优化""]"
construction_certificate_advanced,construction_certificate_advanced_m1,全科串讲与模考演练,1,8,16,"[""建工类证书"", ""考证通关"", ""模考复盘""]"
construction_certificate_advanced,construction_certificate_advanced_m2,高频错题查漏补缺,2,10,20,"[""建工类证书"", ""考证通关"", ""模考复盘""]"
construction_certificate_advanced,construction_certificate_advanced_m3,考前押题与冲刺答疑,3,8,16,"[""建工类证书"", ""考证通关"", ""模考复盘""]"
construction_certificate_foundation,construction_certificate_foundation_m1,法规基础与管理知识,1,8,16,"[""建工类证书"", ""考证通关"", ""模考复盘""]"
construction_certificate_foundation,construction_certificate_foundation_m2,项目管理核心考点,2,10,20,"[""建工类证书"", ""考证通关"", ""模考复盘""]"
construction_certificate_foundation,construction_certificate_foundation_m3,入门真题训练,3,8,16,"[""建工类证书"", ""考证通关"", ""模考复盘""]"
construction_certificate_practice,construction_certificate_practice_m1,实务案例分析突破,1,8,16,"[""建工类证书"", ""考证通关"", ""模考复盘""]"
construction_certificate_practice,construction_certificate_practice_m2,施工组织与现场管理,2,10,20,"[""建工类证书"", ""考证通关"", ""模考复盘""]"
construction_certificate_practice,construction_certificate_practice_m3,高频案例复盘,3,8,16,"[""建工类证书"", ""考证通关"", ""模考复盘""]"
cross_team_collaboration_advanced,cross_team_collaboration_advanced_m1,复杂协同场景拆解,1,8,16,"[""跨部门协同"", ""管理场景"", ""组织协同""]"
cross_team_collaboration_advanced,cross_team_collaboration_advanced_m2,高层汇报与资源争取,2,8,16,"[""跨部门协同"", ""管理场景"", ""组织协同""]"
cross_team_collaboration_advanced,cross_team_collaboration_advanced_m3,组织级协作机制复盘,3,10,20,"[""跨部门协同"", ""管理场景"", ""组织协同""]"
cross_team_collaboration_foundation,cross_team_collaboration_foundation_m1,协同目标对齐与责任边界,1,6,12,"[""跨部门协同"", ""管理场景"", ""组织协同""]"
cross_team_collaboration_foundation,cross_team_collaboration_foundation_m2,会议沟通与信息同步,2,8,16,"[""跨部门协同"", ""管理场景"", ""组织协同""]"
cross_team_collaboration_foundation,cross_team_collaboration_foundation_m3,常见协同阻塞识别,3,8,16,"[""跨部门协同"", ""管理场景"", ""组织协同""]"
cross_team_collaboration_practice,cross_team_collaboration_practice_m1,依赖梳理与推进节奏设计,1,8,16,"[""跨部门协同"", ""管理场景"", ""组织协同""]"
cross_team_collaboration_practice,cross_team_collaboration_practice_m2,分歧处理与共识达成,2,8,16,"[""跨部门协同"", ""管理场景"", ""组织协同""]"
cross_team_collaboration_practice,cross_team_collaboration_practice_m3,跨团队项目案例演练,3,10,20,"[""跨部门协同"", ""管理场景"", ""组织协同""]"
customer_service_training_advanced,customer_service_training_advanced_m1,满意度提升与质检复盘,1,8,16,"[""客服培训"", ""服务沟通"", ""质量提升""]"
customer_service_training_advanced,customer_service_training_advanced_m2,知识库与标准话术建设,2,8,16,"[""客服培训"", ""服务沟通"", ""质量提升""]"
customer_service_training_advanced,customer_service_training_advanced_m3,服务案例拆解与优化,3,10,20,"[""客服培训"", ""服务沟通"", ""质量提升""]"
customer_service_training_foundation,customer_service_training_foundation_m1,客服流程与工单规范,1,6,12,"[""客服培训"", ""服务沟通"", ""质量提升""]"
customer_service_training_foundation,customer_service_training_foundation_m2,服务话术与情绪识别,2,8,16,"[""客服培训"", ""服务沟通"", ""质量提升""]"
customer_service_training_foundation,customer_service_training_foundation_m3,响应时效与基础演练,3,8,16,"[""客服培训"", ""服务沟通"", ""质量提升""]"
customer_service_training_practice,customer_service_training_practice_m1,投诉安抚与升级处理,1,8,16,"[""客服培训"", ""服务沟通"", ""质量提升""]"
customer_service_training_practice,customer_service_training_practice_m2,复杂客诉沟通策略,2,8,16,"[""客服培训"", ""服务沟通"", ""质量提升""]"
customer_service_training_practice,customer_service_training_practice_m3,服务补救与回访闭环,3,8,16,"[""客服培训"", ""服务沟通"", ""质量提升""]"
data_analysis_and_visualization_advanced,data_analysis_and_visualization_advanced_m1,可视化叙事与Dashboard设计,1,8,16,"[""数据分析与可视化"", ""项目实践"", ""工程能力""]"
data_analysis_and_visualization_advanced,data_analysis_and_visualization_advanced_m2,图表选型与表达优化,2,10,20,"[""数据分析与可视化"", ""项目实践"", ""工程能力""]"
data_analysis_and_visualization_advanced,data_analysis_and_visualization_advanced_m3,汇报材料与作品集打磨,3,12,24,"[""数据分析与可视化"", ""项目实践"", ""工程能力""]"
data_analysis_and_visualization_foundation,data_analysis_and_visualization_foundation_m1,SQL/Python数据处理基础,1,8,16,"[""数据分析与可视化"", ""项目实践"", ""工程能力""]"
data_analysis_and_visualization_foundation,data_analysis_and_visualization_foundation_m2,指标体系与业务分析思路,2,8,16,"[""数据分析与可视化"", ""项目实践"", ""工程能力""]"
data_analysis_and_visualization_foundation,data_analysis_and_visualization_foundation_m3,基础图表与看板表达,3,10,20,"[""数据分析与可视化"", ""项目实践"", ""工程能力""]"
data_analysis_and_visualization_practice,data_analysis_and_visualization_practice_m1,漏斗、留存、用户分群分析,1,8,16,"[""数据分析与可视化"", ""项目实践"", ""工程能力""]"
data_analysis_and_visualization_practice,data_analysis_and_visualization_practice_m2,A/B测试与实验设计,2,10,20,"[""数据分析与可视化"", ""项目实践"", ""工程能力""]"
data_analysis_and_visualization_practice,data_analysis_and_visualization_practice_m3,业务项目分析复盘,3,10,20,"[""数据分析与可视化"", ""项目实践"", ""工程能力""]"
data_and_quantitative_analysis_advanced,data_and_quantitative_analysis_advanced_m1,量化决策与商业案例,1,8,16,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_and_quantitative_analysis_advanced,data_and_quantitative_analysis_advanced_m2,分析模型迭代优化,2,10,20,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_and_quantitative_analysis_advanced,data_and_quantitative_analysis_advanced_m3,综合项目复盘,3,10,20,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_and_quantitative_analysis_foundation,data_and_quantitative_analysis_foundation_m1,数据描述与指标构建,1,6,12,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_and_quantitative_analysis_foundation,data_and_quantitative_analysis_foundation_m2,基础统计与可视化思维,2,8,16,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_and_quantitative_analysis_foundation,data_and_quantitative_analysis_foundation_m3,表格分析训练,3,8,16,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_and_quantitative_analysis_practice,data_and_quantitative_analysis_practice_m1,回归建模与解释分析,1,8,16,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_and_quantitative_analysis_practice,data_and_quantitative_analysis_practice_m2,用户与经营分析框架,2,8,16,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_and_quantitative_analysis_practice,data_and_quantitative_analysis_practice_m3,分析报告写作实践,3,10,20,"[""数据与定量分析"", ""建模分析"", ""应用实践""]"
data_compliance_advanced,data_compliance_advanced_m1,数据资产盘点与治理机制,1,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_advanced,data_compliance_advanced_m2,跨部门协同与责任分工,2,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_advanced,data_compliance_advanced_m3,制度优化与复盘闭环,3,10,20,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_foundation,data_compliance_foundation_m1,数据合规框架与法规认知,1,6,12,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_foundation,data_compliance_foundation_m2,敏感数据识别与分级,2,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_foundation,data_compliance_foundation_m3,典型风险场景梳理,3,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_practice,data_compliance_practice_m1,授权告知与最小必要原则,1,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_practice,data_compliance_practice_m2,隐私保护流程与审计留痕,2,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_compliance_practice,data_compliance_practice_m3,业务案例与整改演练,3,8,16,"[""数据合规"", ""隐私保护"", ""治理机制""]"
data_engineering_advanced,data_engineering_advanced_m1,湖仓一体架构设计,1,8,16,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_advanced,data_engineering_advanced_m2,平台化治理与成本优化,2,10,20,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_advanced,data_engineering_advanced_m3,企业级平台案例拆解,3,12,24,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_foundation,data_engineering_foundation_m1,数据仓库建模基础,1,8,16,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_foundation,data_engineering_foundation_m2,ETL流程与调度认知,2,8,16,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_foundation,data_engineering_foundation_m3,离线数仓案例入门,3,10,20,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_practice,data_engineering_practice_m1,实时计算与数据同步,1,8,16,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_practice,data_engineering_practice_m2,任务编排与质量监控,2,10,20,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_engineering_practice,data_engineering_practice_m3,数仓项目联调与复盘,3,10,20,"[""数据工程"", ""项目实践"", ""工程能力""]"
data_storage_systems_advanced,data_storage_systems_advanced_m1,高可用架构与主从复制,1,8,16,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_advanced,data_storage_systems_advanced_m2,慢查询排查与性能优化,2,10,20,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_advanced,data_storage_systems_advanced_m3,数据库治理与复盘,3,12,24,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_foundation,data_storage_systems_foundation_m1,关系型数据库建模入门,1,8,16,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_foundation,data_storage_systems_foundation_m2,SQL查询与索引基础,2,10,20,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_foundation,data_storage_systems_foundation_m3,事务与并发控制认知,3,10,20,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_practice,data_storage_systems_practice_m1,存储过程与数据开发实践,1,8,16,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_practice,data_storage_systems_practice_m2,NoSQL与缓存协同,2,10,20,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
data_storage_systems_practice,data_storage_systems_practice_m3,数据项目联调与讲评,3,12,24,"[""数据存储系统"", ""系统设计"", ""性能优化""]"
deep_learning_and_perception_advanced,deep_learning_and_perception_advanced_m1,模型压缩与部署优化,1,8,16,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_advanced,deep_learning_and_perception_advanced_m2,多卡训练与工程化流程,2,10,20,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_advanced,deep_learning_and_perception_advanced_m3,线上推理与性能分析,3,12,24,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_foundation,deep_learning_and_perception_foundation_m1,神经网络与训练基础,1,8,16,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_foundation,deep_learning_and_perception_foundation_m2,CNN与常见视觉任务,2,8,16,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_foundation,deep_learning_and_perception_foundation_m3,入门实验与调参,3,10,20,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_practice,deep_learning_and_perception_practice_m1,检测分割与表征学习,1,8,16,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_practice,deep_learning_and_perception_practice_m2,数据标注与实验管理,2,10,20,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
deep_learning_and_perception_practice,deep_learning_and_perception_practice_m3,感知项目实践与复盘,3,10,20,"[""深度学习与感知智能"", ""项目实践"", ""工程能力""]"
discrete_and_combinatorial_math_advanced,discrete_and_combinatorial_math_advanced_m1,图论算法与复杂度认知,1,8,16,"[""离散与组合数学"", ""理论进阶"", ""证明训练""]"
