question_bank_code,question_bank_name,product_code,product_name,category_level1_code,category_level2_code,category_level3_code,target_grade_codes,target_learning_goal_codes,target_learner_identity_codes,delivery_mode_codes,question_mix,content_tags,question_styles,source_series_names
general_purpose_programming_bank,通用程序设计题库,computer_science_core,计算机科学能力线,computer_science,programming_languages,general_purpose_programming,"[""junior_college"", ""undergraduate""]","[""career_switch"", ""job_hunting"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""通用程序设计"", ""编程语言"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""通用编程入门班"", ""通用编程项目班"", ""通用编程就业强化班""]"
systems_programming_bank,系统级编程题库,computer_science_core,计算机科学能力线,computer_science,programming_languages,systems_programming,"[""master"", ""undergraduate""]","[""career_switch"", ""promotion"", ""skill_improvement""]","[""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""系统级编程"", ""编程语言"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""系统级编程基础班"", ""系统编程实战班"", ""Linux系统开发进阶班""]"
scripting_and_automation_bank,脚本与自动化编程题库,computer_science_core,计算机科学能力线,computer_science,programming_languages,scripting_and_automation,"[""junior_college"", ""undergraduate""]","[""career_switch"", ""promotion"", ""skill_improvement""]","[""freelancer"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""脚本与自动化编程"", ""编程语言"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""脚本自动化入门班"", ""办公与运维自动化班"", ""自动化工具开发班""]"
web_programming_languages_bank,Web编程语言题库,computer_science_core,计算机科学能力线,computer_science,programming_languages,web_programming_languages,"[""junior_college"", ""undergraduate""]","[""career_switch"", ""job_hunting"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""Web编程语言"", ""编程语言"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""Web开发语言入门班"", ""JavaScript核心实战班"", ""TypeScript工程进阶班""]"
low_level_programming_bank,底层与低级语言题库,computer_science_core,计算机科学能力线,computer_science,programming_languages,low_level_programming,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""底层与低级语言"", ""编程语言"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""底层语言基础班"", ""底层性能优化班"", ""底层开发专项班""]"
frontend_development_bank,前端开发题库,computer_science_core,计算机科学能力线,computer_science,web_development,frontend_development,"[""junior_college"", ""undergraduate""]","[""career_switch"", ""job_hunting"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""前端开发"", ""Web开发"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""前端开发基础班"", ""前端工程化项目班"", ""前端高阶就业班""]"
backend_development_bank,后端开发题库,computer_science_core,计算机科学能力线,computer_science,web_development,backend_development,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""后端开发"", ""Web开发"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""后端开发基础班"", ""后端服务项目班"", ""后端架构进阶班""]"
fullstack_development_bank,全栈开发题库,computer_science_core,计算机科学能力线,computer_science,web_development,fullstack_development,"[""junior_college"", ""undergraduate""]","[""career_switch"", ""job_hunting"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""offline_face_to_face"", ""online_live""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""全栈开发"", ""Web开发"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""全栈开发系统班"", ""全栈项目实战班"", ""全栈工程师就业班""]"
network_and_communication_systems_bank,网络与通信系统题库,computer_science_core,计算机科学能力线,computer_science,computer_systems,network_and_communication_systems,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""网络与通信系统"", ""计算机系统"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""计算机网络基础班"", ""网络协议实战班"", ""网络工程进阶班""]"
operating_and_runtime_systems_bank,操作系统与运行时题库,computer_science_core,计算机科学能力线,computer_science,computer_systems,operating_and_runtime_systems,"[""doctor"", ""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""操作系统与运行时"", ""计算机系统"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""操作系统基础班"", ""操作系统实现班"", ""运行时与内核进阶班""]"
data_storage_systems_bank,数据存储系统题库,computer_science_core,计算机科学能力线,computer_science,computer_systems,data_storage_systems,"[""junior_college"", ""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""数据存储系统"", ""计算机系统"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""数据库基础班"", ""数据库开发实战班"", ""数据库架构优化班""]"
compiler_and_language_systems_bank,编译与语言系统题库,computer_science_core,计算机科学能力线,computer_science,computer_systems,compiler_and_language_systems,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""编译与语言系统"", ""计算机系统"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""编译原理基础班"", ""解释器实现班"", ""编译器工程进阶班""]"
distributed_and_cloud_systems_bank,分布式与云系统题库,computer_science_core,计算机科学能力线,computer_science,computer_systems,distributed_and_cloud_systems,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 28, ""multiple_choice"": 12, ""true_false"": 10, ""short_answer"": 20}","[""分布式与云系统"", ""计算机系统"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""代码阅读"", ""场景应用"", ""综合分析""]","[""分布式系统基础班"", ""云原生实战班"", ""分布式架构进阶班""]"
data_analysis_and_visualization_bank,数据分析与可视化题库,computer_science_expansion,计算机技术拓展线,computer_science,data_and_ai,data_analysis_and_visualization,"[""junior_college"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 24, ""multiple_choice"": 12, ""true_false"": 8, ""short_answer"": 20}","[""数据分析与可视化"", ""数据与人工智能"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""案例应用"", ""方案分析"", ""综合分析""]","[""数据分析求职班"", ""商业分析项目班"", ""数据可视化进阶班""]"
data_engineering_bank,数据工程题库,computer_science_expansion,计算机技术拓展线,computer_science,data_and_ai,data_engineering,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 24, ""multiple_choice"": 12, ""true_false"": 8, ""short_answer"": 20}","[""数据工程"", ""数据与人工智能"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""案例应用"", ""方案分析"", ""综合分析""]","[""数据工程基础班"", ""数仓开发实战班"", ""湖仓平台进阶班""]"
machine_learning_methods_bank,机器学习方法题库,computer_science_expansion,计算机技术拓展线,computer_science,data_and_ai,machine_learning_methods,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 24, ""multiple_choice"": 12, ""true_false"": 8, ""short_answer"": 20}","[""机器学习方法"", ""数据与人工智能"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""案例应用"", ""方案分析"", ""综合分析""]","[""机器学习基础班"", ""机器学习项目班"", ""机器学习算法进阶班""]"
deep_learning_and_perception_bank,深度学习与感知智能题库,computer_science_expansion,计算机技术拓展线,computer_science,data_and_ai,deep_learning_and_perception,"[""doctor"", ""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 24, ""multiple_choice"": 12, ""true_false"": 8, ""short_answer"": 20}","[""深度学习与感知智能"", ""数据与人工智能"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""案例应用"", ""方案分析"", ""综合分析""]","[""深度学习基础班"", ""视觉感知项目班"", ""训练部署进阶班""]"
foundation_models_and_agents_bank,基础模型与智能体题库,computer_science_expansion,计算机技术拓展线,computer_science,data_and_ai,foundation_models_and_agents,"[""doctor"", ""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""job_seeker"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 24, ""multiple_choice"": 12, ""true_false"": 8, ""short_answer"": 20}","[""基础模型与智能体"", ""数据与人工智能"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""案例应用"", ""方案分析"", ""综合分析""]","[""大模型应用开发班"", ""Agent工作流实战班"", ""大模型微调部署班""]"
graphics_rendering_pipeline_bank,图形与渲染管线题库,computer_science_expansion,计算机技术拓展线,computer_science,graphics_and_games,graphics_rendering_pipeline,"[""junior_college"", ""master"", ""undergraduate""]","[""interest_learning"", ""job_hunting"", ""skill_improvement""]","[""freelancer"", ""in_school_student"", ""working_professional""]","[""offline_face_to_face"", ""online_live""]","{""single_choice"": 24, ""multiple_choice"": 12, ""true_false"": 8, ""short_answer"": 20}","[""图形与渲染管线"", ""图形与游戏技术"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""案例应用"", ""方案分析"", ""综合分析""]","[""图形渲染基础班"", ""渲染管线实战班"", ""图形引擎进阶班""]"
real_time_rendering_bank,实时渲染题库,computer_science_expansion,计算机技术拓展线,computer_science,graphics_and_games,real_time_rendering,"[""master"", ""undergraduate""]","[""interest_learning"", ""job_hunting"", ""skill_improvement""]","[""freelancer"", ""in_school_student"", ""working_professional""]","[""offline_face_to_face"", ""online_live""]","{""single_choice"": 24, ""multiple_choice"": 12, ""true_false"": 8, ""short_answer"": 20}","[""实时渲染"", ""图形与游戏技术"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""案例应用"", ""方案分析"", ""综合分析""]","[""实时渲染基础班"", ""实时渲染效果班"", ""GPU渲染优化班""]"
simulation_and_physics_bank,仿真与物理系统题库,computer_science_expansion,计算机技术拓展线,computer_science,graphics_and_games,simulation_and_physics,"[""doctor"", ""master"", ""undergraduate""]","[""interest_learning"", ""job_hunting"", ""skill_improvement""]","[""freelancer"", ""in_school_student"", ""working_professional""]","[""offline_face_to_face"", ""online_live""]","{""single_choice"": 24, ""multiple_choice"": 12, ""true_false"": 8, ""short_answer"": 20}","[""仿真与物理系统"", ""图形与游戏技术"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""案例应用"", ""方案分析"", ""综合分析""]","[""仿真物理基础班"", ""物理引擎实战班"", ""数值仿真进阶班""]"
interactive_media_and_games_bank,交互媒体与游戏题库,computer_science_expansion,计算机技术拓展线,computer_science,graphics_and_games,interactive_media_and_games,"[""junior_college"", ""master"", ""undergraduate""]","[""interest_learning"", ""job_hunting"", ""skill_improvement""]","[""freelancer"", ""in_school_student"", ""working_professional""]","[""offline_face_to_face"", ""online_live""]","{""single_choice"": 24, ""multiple_choice"": 12, ""true_false"": 8, ""short_answer"": 20}","[""交互媒体与游戏"", ""图形与游戏技术"", ""基础概念"", ""关键流程"", ""常见误区""]","[""概念辨析"", ""案例应用"", ""方案分析"", ""综合分析""]","[""游戏开发基础班"", ""交互设计项目班"", ""游戏系统设计进阶班""]"
analysis_foundations_bank,分析学基础题库,mathematics,数学基础与进阶线,mathematics,basic_mathematics,analysis_foundations,"[""junior_middle"", ""senior_high"", ""undergraduate""]","[""exam_preparation"", ""school_sync"", ""score_improvement""]","[""in_school_student""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""分析学基础"", ""基础数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""分析学同步提升班"", ""极限与连续专题班"", ""分析证明进阶班""]"
algebra_foundations_bank,代数学基础题库,mathematics,数学基础与进阶线,mathematics,basic_mathematics,algebra_foundations,"[""senior_high"", ""undergraduate""]","[""exam_preparation"", ""school_sync"", ""score_improvement""]","[""in_school_student""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""代数学基础"", ""基础数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""代数基础提升班"", ""线性代数强化班"", ""代数结构进阶班""]"
geometry_foundations_bank,几何学基础题库,mathematics,数学基础与进阶线,mathematics,basic_mathematics,geometry_foundations,"[""junior_middle"", ""senior_high"", ""undergraduate""]","[""exam_preparation"", ""school_sync"", ""score_improvement""]","[""in_school_student""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""几何学基础"", ""基础数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""几何同步提高班"", ""解析几何专题班"", ""几何证明拔高班""]"
calculus_and_sequences_bank,微积分与数列极限题库,mathematics,数学基础与进阶线,mathematics,basic_mathematics,calculus_and_sequences,"[""senior_high"", ""undergraduate""]","[""exam_preparation"", ""school_sync"", ""score_improvement""]","[""in_school_student""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""微积分与数列极限"", ""基础数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""微积分基础班"", ""数列极限强化班"", ""微积分综合进阶班""]"
proof_and_logic_bank,数学证明与逻辑题库,mathematics,数学基础与进阶线,mathematics,basic_mathematics,proof_and_logic,"[""senior_high"", ""undergraduate""]","[""exam_preparation"", ""school_sync"", ""score_improvement""]","[""in_school_student""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""数学证明与逻辑"", ""基础数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""数学证明入门班"", ""逻辑推理强化班"", ""证明写作进阶班""]"
probability_and_statistics_bank,概率与统计方法题库,mathematics,数学基础与进阶线,mathematics,applied_mathematics,probability_and_statistics,"[""master"", ""undergraduate""]","[""exam_preparation"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""概率与统计方法"", ""应用数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""概率统计基础班"", ""统计建模实战班"", ""概率统计进阶班""]"
operations_research_bank,运筹优化题库,mathematics,数学基础与进阶线,mathematics,applied_mathematics,operations_research,"[""master"", ""undergraduate""]","[""exam_preparation"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""运筹优化"", ""应用数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""运筹优化基础班"", ""优化建模实战班"", ""决策分析进阶班""]"
numerical_and_computational_methods_bank,数值与计算方法题库,mathematics,数学基础与进阶线,mathematics,applied_mathematics,numerical_and_computational_methods,"[""doctor"", ""master"", ""undergraduate""]","[""exam_preparation"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""数值与计算方法"", ""应用数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""数值计算基础班"", ""数值分析编程班"", ""科学计算进阶班""]"
modeling_and_simulation_bank,建模与仿真题库,mathematics,数学基础与进阶线,mathematics,applied_mathematics,modeling_and_simulation,"[""master"", ""undergraduate""]","[""exam_preparation"", ""job_hunting"", ""skill_improvement""]","[""in_school_student"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""建模与仿真"", ""应用数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""数学建模入门班"", ""建模竞赛训练班"", ""仿真建模进阶班""]"
data_and_quantitative_analysis_bank,数据与定量分析题库,mathematics,数学基础与进阶线,mathematics,applied_mathematics,data_and_quantitative_analysis,"[""master"", ""undergraduate""]","[""job_hunting"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""数据与定量分析"", ""应用数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""定量分析基础班"", ""数据分析建模班"", ""商业量化分析进阶班""]"
modern_analysis_bank,现代分析理论题库,mathematics,数学基础与进阶线,mathematics,modern_mathematics,modern_analysis,"[""doctor"", ""master"", ""undergraduate""]","[""exam_preparation"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""现代分析理论"", ""现代数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""现代分析导论班"", ""实分析进阶班"", ""泛函分析专题班""]"
modern_algebra_bank,现代代数理论题库,mathematics,数学基础与进阶线,mathematics,modern_mathematics,modern_algebra,"[""doctor"", ""master"", ""undergraduate""]","[""exam_preparation"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""现代代数理论"", ""现代数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""现代代数导论班"", ""群环域进阶班"", ""现代代数专题班""]"
geometry_and_topology_bank,几何与拓扑题库,mathematics,数学基础与进阶线,mathematics,modern_mathematics,geometry_and_topology,"[""doctor"", ""master"", ""undergraduate""]","[""exam_preparation"", ""promotion"", ""skill_improvement""]","[""in_school_student"", ""working_professional""]","[""online_live"", ""online_recorded""]","{""single_choice"": 20, ""multiple_choice"": 10, ""true_false"": 10, ""short_answer"": 30}","[""几何与拓扑"", ""现代数学"", ""核心概念"", ""典型题型"", ""解题步骤""]","[""基础概念"", ""公式推导"", ""步骤计算"", ""综合证明""]","[""几何拓扑导论班"", ""拓扑空间进阶班"", ""微分几何专题班""]"
